Instance,tested_negative,tested_positive,Assigned class
1,1,2,tested_positive
2,2,1,tested_negative
3,3,0,tested_negative
4,3,0,tested_negative
5,2,1,tested_negative
6,2,1,tested_negative
7,2,1,tested_negative
8,2,1,tested_negative
9,2,1,tested_negative
10,2,1,tested_negative
11,2,1,tested_negative
12,0,3,tested_positive
13,1,2,tested_positive
14,3,0,tested_negative
15,3,0,tested_negative
16,3,0,tested_negative
17,3,0,tested_negative
18,0,3,tested_positive
19,3,0,tested_negative
20,3,0,tested_negative
21,1,2,tested_positive
22,1,2,tested_positive
23,3,0,tested_negative
24,3,0,tested_negative
25,2,1,tested_negative
26,2,1,tested_negative
27,3,0,tested_negative
28,0,3,tested_positive
29,2,1,tested_negative
30,0,3,tested_positive
31,0,3,tested_positive
32,0,3,tested_positive
33,3,0,tested_negative
34,2,1,tested_negative
35,3,0,tested_negative
36,2,1,tested_negative
37,3,0,tested_negative
38,0,3,tested_positive
39,2,1,tested_negative
40,1,2,tested_positive
41,1,2,tested_positive
42,2,1,tested_negative
43,1,2,tested_positive
44,3,0,tested_negative
45,2,1,tested_negative
46,2,1,tested_negative
47,3,0,tested_negative
48,1,2,tested_positive
49,0,3,tested_positive
50,3,0,tested_negative
51,2,1,tested_negative
52,3,0,tested_negative
53,3,0,tested_negative
54,2,1,tested_negative
55,0,3,tested_positive
56,3,0,tested_negative
57,2,1,tested_negative
58,3,0,tested_negative
59,2,1,tested_negative
60,0,3,tested_positive
61,2,1,tested_negative
62,3,0,tested_negative
63,1,2,tested_positive
64,1,2,tested_positive
65,3,0,tested_negative
66,2,1,tested_negative
67,3,0,tested_negative
68,2,1,tested_negative
69,2,1,tested_negative
70,1,2,tested_positive
71,2,1,tested_negative
72,3,0,tested_negative
73,3,0,tested_negative
74,3,0,tested_negative
75,2,1,tested_negative
76,3,0,tested_negative
77,3,0,tested_negative
78,0,3,tested_positive
79,3,0,tested_negative
80,3,0,tested_negative
81,2,1,tested_negative
82,3,0,tested_negative
83,1,2,tested_positive
84,2,1,tested_negative
85,2,1,tested_negative
86,2,1,tested_negative
87,3,0,tested_negative
88,3,0,tested_negative
89,2,1,tested_negative
90,3,0,tested_negative
91,2,1,tested_negative
92,3,0,tested_negative
93,2,1,tested_negative
94,0,3,tested_positive
95,3,0,tested_negative
96,2,1,tested_negative
97,2,1,tested_negative
98,2,1,tested_negative
99,1,2,tested_positive
100,2,1,tested_negative
